"CODE","NAME","PARENT","TYPE_PARAM","STATUS","IMAGE","PARAM_ORDER","GROUP_TYPE","LEVEL_NODE","SUB_CODE","MODIFIED_DATE","START_TIME","END_TIME","ID","DEPT_ID","PARENT_DEPT_ID","DEPT_ORDER","STANDARD_NAME","PARAM_ORDER_SMS"
D061,DNI,TSS,DTLV,1,,20,DTLV,,,2021-11-16 23:39:53.000,,,100860,380,307143,,DNI,
D067,DTP,TSS,DTLV,1,,21,DTLV,,,2021-11-16 23:39:53.000,,,100859,381,307143,,DTP,
G059,GLI,TSS,DTLV,1,,22,DTLV,,,2021-11-16 23:39:53.000,,,100858,324,307143,,GLI,
H019,HGG,TSS,DTLV,1,,25,DTLV,,,2021-11-16 23:39:53.000,,,100857,298,307143,,HGG,
N351,HNM,TSS,DTLV,1,,26,DTLV,,,2021-11-16 23:39:53.000,,,100856,309,307143,,HNM,
H039,HTH,TSS,DTLV,1,,28,DTLV,,,2021-11-16 23:39:53.000,,,100855,300,307143,,HTH,
H320,HDG,TSS,DTLV,1,,24,DTLV,,,2021-11-16 23:39:53.000,,,100854,301,307143,,HDG,
H031,HPG,TSS,DTLV,1,,27,DTLV,,,2021-11-16 23:39:53.000,,,100853,299,307143,,HPG,
H711,HUG,TSS,DTLV,1,,30,DTLV,,,2021-11-16 23:39:53.000,,,100852,369,307143,,HUG,
H018,HBH,TSS,DTLV,1,,23,DTLV,,,2021-11-16 23:39:53.000,,,100851,297,307143,,HBH,
H321,HYN,TSS,DTLV,1,,31,DTLV,,,2021-11-16 23:39:53.000,,,100850,302,307143,,HYN,
K058,KHA,TSS,DTLV,1,,33,DTLV,,,2021-11-16 23:39:53.000,,,100849,325,307143,,KHA,
K077,KGG,TSS,DTLV,1,,32,DTLV,,,2021-11-16 23:39:53.000,,,100848,367,307143,,KGG,
B240009,H.Việt Yên,B240,DTLV,1,,7,DTLV,,,,,,101001,980,293,,H.Việt Yên,
B240010,H.Yên Dũng,B240,DTLV,1,,8,DTLV,,,,,,101002,981,293,,H.Yên Dũng,
B240002,H.Yên Thế,B240,DTLV,1,,9,DTLV,,,,,,101003,963,293,,H.Yên Thế,
B281001,TP.Bắc Kạn,B281,DTLV,1,,0,DTLV,,,,,,101004,937,295,,TP.Bắc Kạn,
B281002,H.Ba Bể,B281,DTLV,1,,1,DTLV,,,,,,101005,938,295,,H.Ba Bể,
B281006,H.Bạch Thông,B281,DTLV,1,,2,DTLV,,,,,,101006,942,295,,H.Bạch Thông,
B281004,H.Chợ Đồn,B281,DTLV,1,,3,DTLV,,,,,,101007,940,295,,H.Chợ Đồn,
B281007,H.Chợ Mới,B281,DTLV,1,,4,DTLV,,,,,,101008,943,295,,H.Chợ Mới,
B281005,H.Na Rì,B281,DTLV,1,,5,DTLV,,,,,,101009,941,295,,H.Na Rì,
B281003,H.Ngân Sơn,B281,DTLV,1,,6,DTLV,,,,,,101010,939,295,,H.Ngân Sơn,
B281008,H.Pắc Nặm,B281,DTLV,1,,7,DTLV,,,,,,101011,1066,295,,H.Pắc Nặm,
B781001,TP.Bạc Liêu,B781,DTLV,1,,0,DTLV,,,,,,101012,919,344,,TP.Bạc Liêu,
B781003,H.Đông Hải,B781,DTLV,1,,1,DTLV,,,,,,101013,921,344,,H.Đông Hải,
B781007,H.Hòa Bình,B781,DTLV,1,,2,DTLV,,,,,,101014,426,344,,H.Hòa Bình,
B781006,H.Hồng Dân,B781,DTLV,1,,3,DTLV,,,,,,101015,976,344,,H.Hồng Dân,
B781002,H.Phước Long,B781,DTLV,1,,4,DTLV,,,,,,101016,920,344,,H.Phước Long,
B781004,H.Vĩnh Lợi,B781,DTLV,1,,5,DTLV,,,,,,101017,922,344,,H.Vĩnh Lợi,
B781005,TX.Giá Rai,B781,DTLV,1,,6,DTLV,,,,,,101018,923,344,,TX.Giá Rai,
B241001,TP.Bắc Ninh,B241,DTLV,1,,0,DTLV,,,,,,101019,994,294,,TP.Bắc Ninh,
B241005,TP.Từ Sơn,B241,DTLV,1,,1,DTLV,,,,,,101020,998,294,,TP.Từ Sơn,
B241008,H.Gia Bình,B241,DTLV,1,,2,DTLV,,,,,,101021,1001,294,,H.Gia Bình,
B241007,H.Lương Tài,B241,DTLV,1,,3,DTLV,,,,,,101022,1000,294,,H.Lương Tài,
B241003,H.Quế Võ,B241,DTLV,1,,4,DTLV,,,,,,101023,996,294,,H.Quế Võ,
B241006,H.Thuận Thành,B241,DTLV,1,,5,DTLV,,,,,,101024,999,294,,H.Thuận Thành,
B241004,H.Tiên Du,B241,DTLV,1,,6,DTLV,,,,,,101025,997,294,,H.Tiên Du,
B241002,H.Yên Phong,B241,DTLV,1,,7,DTLV,,,,,,101026,995,294,,H.Yên Phong,
B651001,TP.Đồng Xoài,B651,DTLV,1,,0,DTLV,,,,,,101027,682,343,,TP.Đồng Xoài,
B651005,H.Bù Đăng,B651,DTLV,1,,1,DTLV,,,,,,101028,686,343,,H.Bù Đăng,
B651007,H.Bù Đốp,B651,DTLV,1,,2,DTLV,,,,,,101029,511,343,,H.Bù Đốp,
B651010,H.Bù Gia Mập,B651,DTLV,1,,3,DTLV,,,,,,101030,14250,343,,H.Bù Gia Mập,
B651002,H.Đồng Phú,B651,DTLV,1,,4,DTLV,,,,,,101031,683,343,,H.Đồng Phú,
B651009,H.Hớn Quản,B651,DTLV,1,,5,DTLV,,,,,,101032,14251,343,,H.Hớn Quản,
