"ID","CODE","NAME","PARENT_ID","PARENT_CODE","DEPT_LEVEL","DEPT_LEVEL_CODE_FULL","DEPT_LEVEL_NAME_FULL","DESCRIPTION","STATUS","COUNTRY_ID","COUNTRY_CODE","COUNTRY_NAME","PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","COMPANY_ID","COMPANY_CODE","COMPANY_NAME","UPDATE_TIME","UPDATE_USER","START_TIME","END_TIME","STANDARD_NAME"
685,B651004,Lộc Ninh,343,B651,4,/TD/VTT/B651/B651004/,/TD/VTT/Bình Phước/Lộc Ninh/,,1,281,VN,Việt Nam,685,,,,,,,,,,Lộc Ninh
683,B651002,Đồng Phú,343,B651,4,/TD/VTT/B651/B651002/,/TD/VTT/Bình Phước/Đồng Phú/,,1,281,VN,Việt Nam,683,,,,,,,,,,Đồng Phú
686,B651005,Bù Đăng,343,B651,4,/TD/VTT/B651/B651005/,/TD/VTT/Bình Phước/Bù Đăng/,,1,281,VN,Việt Nam,686,,,,,,,,,,Bù Đăng
512,B651008,Chơn Thành,343,B651,4,/TD/VTT/B651/B651008/,/TD/VTT/Bình Phước/Chơn Thành/,,1,281,VN,Việt Nam,512,,,,,,,,,,Chơn Thành
682,B651001,Đồng Xoài,343,B651,4,/TD/VTT/B651/B651001/,/TD/VTT/Bình Phước/Đồng Xoài/,,1,281,VN,Việt Nam,682,,,,,,,,,,Đồng Xoài
511,B651007,Bù Đốp,343,B651,4,/TD/VTT/B651/B651007/,/TD/VTT/Bình Phước/Bù Đốp/,,1,281,VN,Việt Nam,511,,,,,,,,,,Bù Đốp
14251,B651009,Hớn Quản,343,B651,4,/TD/VTT/B651/B651009/,/TD/VTT/Bình Phước/Hớn Quản/,,1,281,VN,Việt Nam,14251,,,,,,,,,,Hớn Quản
16035,L072TLS1,TLS Long An,349,L072,4,/TD/VTT/L072/L072TLS1/,/TD/VTT/Long An/TLS Long An/,,1,281,VN,Việt Nam,16035,,,,,,,,,,TLS Long An
20035,L072DN1,Bán hàng AM Viettel Long An,349,L072,4,/TD/VTT/L072/L072DN1/,/TD/VTT/Long An/Bán hàng AM Viettel Long An/,,1,281,VN,Việt Nam,20035,,,,,,,,,,Bán hàng AM Viettel Long An
851,L072010,Thủ Thừa,349,L072,4,/TD/VTT/L072/L072010/,/TD/VTT/Long An/Thủ Thừa/,,1,281,VN,Việt Nam,851,,,,,,,,,,Thủ Thừa
